geo,geo.type,geo.description,date,mdri.log.diff,mdri.cum
US,Country,US,2018-06-03,0.131035245088034,0.518050387576293
US,Country,US,2018-06-04,-0.0599912731213792,0.458059114454913
US,Country,US,2018-06-05,-0.0292778518612811,0.428781262593632
US,Country,US,2018-06-06,0.0342591582628966,0.463040420856529
US,Country,US,2018-06-07,-0.125123991335136,0.337916429521393
US,Country,US,2018-06-08,-0.0453060825668654,0.292610346954527
US,Country,US,2018-06-09,-0.0403055388892288,0.252304808065299
US,Country,US,2018-06-10,0.20151746490116,0.453822272966458
US,Country,US,2018-06-11,-0.0250860828268644,0.428736190139594
US,Country,US,2018-06-12,0.107882860843196,0.53661905098279
US,Country,US,2018-06-13,-0.0824745611392997,0.45414448984349
US,Country,US,2018-06-14,-0.109199559952408,0.344944929891082
US,Country,US,2018-06-15,0.0200405767263273,0.364985506617409
US,Country,US,2018-06-16,-0.204407612364404,0.160577894253005
US,Country,US,2018-06-17,0.0334610379851737,0.194038932238179
US,Country,US,2018-06-18,0.222489033256487,0.416527965494666
US,Country,US,2018-06-19,-0.0408353075376053,0.375692657957061
US,Country,US,2018-06-20,0.0802074660821111,0.455900124039172
US,Country,US,2018-06-21,-0.0562603092557294,0.399639814783442
US,Country,US,2018-06-22,-0.084948790304584,0.314691024478858
US,Country,US,2018-06-23,-0.0804086235036514,0.234282400975207
US,Country,US,2018-06-24,0.0583279459793206,0.292610346954528
US,Country,US,2018-06-25,0.150400167427547,0.443010514382074
US,Country,US,2018-06-26,-0.00368327872886157,0.439327235653213
US,Country,US,2018-06-27,0.00115540265882903,0.440482638312042
US,Country,US,2018-06-28,-0.0118882217621653,0.428594416549876
US,Country,US,2018-06-29,-0.09942021483261,0.329174201717266
US,Country,US,2018-06-30,-0.0740663394235135,0.255107862293753
US,Country,US,2018-07-02,0.0247026573845739,0.279810519678327
US,Country,US,2018-07-03,-0.0600652453644295,0.219745274313897
US,Country,US,2018-07-04,0.0477368088924432,0.26748208320634
US,Country,US,2018-07-05,0.0284053165217859,0.295887399728126
US,Country,US,2018-07-06,-0.0365331955085635,0.259354204219563
US,Country,US,2018-07-07,-0.0651452958370164,0.194208908382546
US,Country,US,2018-07-08,0.0733227521769504,0.267531660559497
US,Country,US,2018-07-09,0.137263496647142,0.404795157206639
US,Country,US,2018-07-10,-0.104766917478993,0.300028239727645
US,Country,US,2018-07-11,0.080782613107184,0.380810852834829
US,Country,US,2018-07-12,-0.0731329627417717,0.307677890093058
US,Country,US,2018-07-13,-0.10387707190327,0.203800818189788
US,Country,US,2018-07-14,-0.17809947092557,0.0257013472642175
US,Country,US,2018-07-15,0.208110511826731,0.233811859090949
US,Country,US,2018-07-16,0.161268771572596,0.395080630663544
US,Country,US,2018-07-17,-0.0949590071747238,0.30012162348882
US,Country,US,2018-07-18,-0.0538944048438747,0.246227218644946
US,Country,US,2018-07-19,-0.0339366386449343,0.212290580000011
US,Country,US,2018-07-20,-0.0961854470193336,0.116105132980678
US,Country,US,2018-07-21,0.02769287033307,0.143798003313748
US,Country,US,2018-07-22,0.104358580218937,0.248156583532685
US,Country,US,2018-07-23,0.0353928669462821,0.283549450478967
US,Country,US,2018-07-24,0.0479679113630877,0.331517361842054
US,Country,US,2018-07-25,-0.0517068421637272,0.279810519678327
US,Country,US,2018-07-26,-0.0504814394098384,0.229329080268489
US,Country,US,2018-07-27,-0.0999671609109926,0.129361919357496
US,Country,US,2018-07-28,-0.0985714147163485,0.0307905046411477
US,Country,US,2018-07-29,0.202234229138872,0.23302473378002
US,Country,US,2018-07-30,0.197858889524656,0.430883623304676
US,Country,US,2018-07-31,-0.0727197391655008,0.358163884139175
US,Country,US,2018-08-02,-0.06936232832253,0.288801555816645
US,Country,US,2018-08-03,-0.105267429068293,0.183534126748352
US,Country,US,2018-08-04,0.0632538554365047,0.246787982184856
US,Country,US,2018-08-05,0.191353523973456,0.438141506158312
US,Country,US,2018-08-06,0.116266962502609,0.554408468660921
US,Country,US,2018-08-07,0.00360363870140527,0.558012107362326
US,Country,US,2018-08-08,-0.214005606320993,0.344006501041333
US,Country,US,2018-08-09,-0.046136123234676,0.297870377806657
US,Country,US,2018-08-10,0.0500348031557393,0.347905180962396
US,Country,US,2018-08-11,-0.0635187007290923,0.284386480233304
US,Country,US,2018-08-12,0.0387093194226956,0.323095799656
US,Country,US,2018-08-13,0.0261036151156695,0.349199414771669
US,Country,US,2018-08-14,0.123543652763526,0.472743067535196
US,Country,US,2018-08-15,-0.207532825848606,0.26521024168659
US,Country,US,2018-08-16,0.0897095548520111,0.354919796538601
US,Country,US,2018-08-17,-0.0708938715955433,0.284025924943057
US,Country,US,2018-08-18,-0.0467516690138317,0.237274255929225
US,Country,US,2018-08-19,0.161804592014063,0.399078847943288
US,Country,US,2018-08-20,-0.0202577846253016,0.378821063317987
US,Country,US,2018-08-21,-0.0217409912255598,0.357080072092427
US,Country,US,2018-08-22,0.0533622748430541,0.410442346935481
US,Country,US,2018-08-23,-0.103972738188443,0.306469608747038
US,Country,US,2018-08-24,-0.0543406070450757,0.252129001701962
US,Country,US,2018-08-25,-0.184136410982021,0.0679925907199412
US,Country,US,2018-08-26,0.29436422082152,0.362356811541461
US,Country,US,2018-08-27,-0.0517610026371994,0.310595808904262
US,Country,US,2018-08-28,0.145474720582968,0.456070529487229
US,Country,US,2018-08-29,-0.246590143204354,0.209480386282875
US,Country,US,2018-08-30,0.0779160348543356,0.287396421137211
US,Country,US,2018-08-31,-0.180226813324576,0.107169607812635
US,Country,US,2018-09-02,0.0787962593547435,0.185965867167379
US,Country,US,2018-09-03,0.0773897473223264,0.263355614489705
US,Country,US,2018-09-04,0.14213685916144,0.405492473651146
US,Country,US,2018-09-05,-0.0909537814375437,0.314538692213602
US,Country,US,2018-09-06,-0.0334590179998588,0.281079674213743
US,Country,US,2018-09-07,-0.0306288971176014,0.250450777096142
US,Country,US,2018-09-08,-0.112668769147741,0.137782007948401
US,Country,US,2018-09-09,0.0355350236300106,0.173317031578411
US,Country,US,2018-09-10,0.0851368351676368,0.258453866746048
US,Country,US,2018-09-11,-0.0225908716939074,0.235862995052141
US,Country,US,2018-09-12,-0.0445235563836374,0.191339438668503
US,Country,US,2018-09-13,-0.0541113707451056,0.137228067923398
US,Country,US,2018-09-14,-0.114770228318278,0.0224578396051199
US,Country,US,2018-09-15,0.120210201373967,0.142668040979087
US,Country,US,2018-09-16,0.000778271036095266,0.143446312015182
US,Country,US,2018-09-17,0.367566014454249,0.511012326469432
US,Country,US,2018-09-18,-0.080257042132508,0.430755284336924
US,Country,US,2018-09-19,-0.128420070670183,0.30233521366674
US,Country,US,2018-09-20,-0.013669341242459,0.288665872424281
US,Country,US,2018-09-21,-0.0828150810443931,0.205850791379888
US,Country,US,2018-09-22,-0.0666267095082819,0.139224081871606
US,Country,US,2018-09-23,0.15682023894232,0.296044320813926
US,Country,US,2018-09-24,-0.0356782629851396,0.260366057828786
US,Country,US,2018-09-25,0.0127488429851462,0.273114900813932
US,Country,US,2018-09-26,0.0044743401107133,0.277589240924645
US,Country,US,2018-09-27,-0.0126970889158781,0.264892152008767
US,Country,US,2018-09-28,-0.0780644625002651,0.186827689508502
US,Country,US,2018-09-29,-0.0780297073330091,0.108797982175493
US,Country,US,2018-09-30,0.109298890639605,0.218096872815099
US,Country,US,2018-10-02,-0.00322501030461217,0.214871862510486
US,Country,US,2018-10-03,-0.0661465490943786,0.148725313416108
US,Country,US,2018-10-04,0.0608442783648261,0.209569591780934
US,Country,US,2018-10-05,-0.0305223978418301,0.179047193939104
US,Country,US,2018-10-06,-0.0511447465859285,0.127902447353175
US,Country,US,2018-10-07,0.0951921639624765,0.223094611315652
US,Country,US,2018-10-08,0.0439349784155674,0.267029589731219
US,Country,US,2018-10-09,-0.100281869225019,0.1667477205062
US,Country,US,2018-10-10,0.0353671769608483,0.202114897467048
US,Country,US,2018-10-11,-0.0782226790553878,0.12389221841166
US,Country,US,2018-10-12,-0.0361042251606142,0.087787993251046
US,Country,US,2018-10-13,-0.0779428171380757,0.00984517611297028
US,Country,US,2018-10-14,0.0928408461205517,0.102686022233522
US,Country,US,2018-10-15,0.0776789134974871,0.180364935731009
US,Country,US,2018-10-16,0.0588222124373253,0.239187148168334
US,Country,US,2018-10-17,-0.145100074856833,0.0940870733115018
US,Country,US,2018-10-18,0.0589460733646843,0.153033146676186
US,Country,US,2018-10-19,-0.123281558996008,0.0297515876801776
US,Country,US,2018-10-20,-0.0798349823229424,-0.0500833946427647
US,Country,US,2018-10-21,0.181358357462095,0.13127496281933
US,Country,US,2018-10-22,0.0515661583218604,0.182841121141191
US,Country,US,2018-10-23,-0.108087023363751,0.0747540977774396
US,Country,US,2018-10-24,-0.014679199380546,0.0600748983968937
US,Country,US,2018-10-25,0.0147492641907533,0.0748241625876469
US,Country,US,2018-10-26,-0.0101718479753169,0.06465231461233
US,Country,US,2018-10-27,-0.175909627665647,-0.111257313053317
US,Country,US,2018-10-28,0.122606502830599,0.0113491897772827
US,Country,US,2018-10-29,0.181756150227126,0.193105340004409
US,Country,US,2018-10-30,0.0113948144268428,0.204500154431251
US,Country,US,2018-10-31,-0.134758682441991,0.06974147198926
US,Country,US,2018-11-02,0.017020839897878,0.086762311887138
US,Country,US,2018-11-03,0.0250830018214693,0.111845313708607
US,Country,US,2018-11-04,0.116794026113619,0.228639339822226
US,Country,US,2018-11-05,0.0316720927530755,0.260311432575302
US,Country,US,2018-11-06,-0.0654399977404794,0.194871434834822
US,Country,US,2018-11-07,-0.130422759554488,0.0644486752803338
US,Country,US,2018-11-08,0.0696066302483273,0.134055305528661
US,Country,US,2018-11-09,-0.0897776445945284,0.0442776609341326
US,Country,US,2018-11-10,-0.0834030985311837,-0.0391254375970511
US,Country,US,2018-11-11,0.199861645683558,0.160736208086507
US,Country,US,2018-11-12,-0.0814702786158946,0.079265929470612
US,Country,US,2018-11-13,0.0635519284457825,0.142817857916395
US,Country,US,2018-11-14,0.0093799964709446,0.152197854387339
US,Country,US,2018-11-15,-0.20526707104415,-0.0530692166568105
US,Country,US,2018-11-16,-0.0267566938015271,-0.0798259104583376
US,Country,US,2018-11-17,-0.130847544893434,-0.210673455351772
US,Country,US,2018-11-18,0.184350921465543,-0.0263225338862282
US,Country,US,2018-11-19,0.0718686535183214,0.0455461196320931
US,Country,US,2018-11-20,-0.0460159087363632,-0.000469789104270067
US,Country,US,2018-11-21,-0.215826584080089,-0.216296373184359
US,Country,US,2018-11-22,-0.220680214799804,-0.436976587984163
US,Country,US,2018-11-23,0.0970419370984127,-0.33993465088575
US,Country,US,2018-11-24,0.142449098033058,-0.197485552852693
US,Country,US,2018-11-25,0.197272516135619,-0.00021303671707321
US,Country,US,2018-11-26,0.0260035402305071,0.0257905035134339
US,Country,US,2018-11-27,0.0390847020021085,0.0648752055155424
US,Country,US,2018-11-28,0.108407864646691,0.173283070162233
US,Country,US,2018-11-29,-0.0524281989909862,0.120854871171247
US,Country,US,2018-11-30,-0.0185340149439917,0.102320856227255
US,Country,US,2018-12-02,-0.0704664546756658,0.0318544015515896
US,Country,US,2018-12-03,0.130813776705109,0.162668178256698
US,Country,US,2018-12-04,0.0536117322319939,0.216279910488692
US,Country,US,2018-12-05,0.0339790090687684,0.25025891955746
US,Country,US,2018-12-06,-0.0600713581514635,0.190187561405997
US,Country,US,2018-12-07,-0.132475774130523,0.0577117872754735
US,Country,US,2018-12-08,-0.0901199819357762,-0.0324081946603027
US,Country,US,2018-12-09,0.100372560549435,0.0679643658891322
US,Country,US,2018-12-10,0.0080894094762991,0.0760537753654313
US,Country,US,2018-12-11,0.0543148220614462,0.130368597426877
US,Country,US,2018-12-12,-0.0140713533244187,0.116297244102459
US,Country,US,2018-12-13,0.100093684982874,0.216390929085333
US,Country,US,2018-12-14,-0.179203080418263,0.0371878486670698
US,Country,US,2018-12-15,-0.098390914726979,-0.0612030660599091
US,Country,US,2018-12-16,0.118835948533657,0.0576328824737482
US,Country,US,2018-12-17,-0.0002228909032119,0.0574099915705363
US,Country,US,2018-12-18,0.0730854691626619,0.130495460733198
US,Country,US,2018-12-19,-0.0580453240691715,0.0724501366640267
US,Country,US,2018-12-20,0.0345989312272147,0.107049067891241
US,Country,US,2018-12-21,-0.14505963532367,-0.038010567432429
US,Country,US,2018-12-22,-0.0724709588684084,-0.110481526300837
US,Country,US,2018-12-23,0.0151028761495322,-0.0953786501513053
US,Country,US,2018-12-24,-0.0668632968820467,-0.162241947033352
US,Country,US,2018-12-25,-0.0513835599424197,-0.213625506975772
US,Country,US,2018-12-26,0.392783463420075,0.179157956444303
US,Country,US,2018-12-27,0.171927833578809,0.351085790023112
US,Country,US,2018-12-28,0.0557302931863252,0.406816083209438
US,Country,US,2018-12-29,-0.207973065285911,0.198843017923526
US,Country,US,2018-12-30,0.127107212489611,0.325950230413137
US,Country,US,2018-12-31,-0.0436407853315042,0.282309445081633
US,Country,US,2019-01-02,0.211670219346269,0.493979664427902
US,Country,US,2019-01-03,0.00623074025664837,0.50021040468455
US,Country,US,2019-01-04,-0.0902475457694208,0.409962858915129
US,Country,US,2019-01-05,-0.0723644894110103,0.337598369504119
US,Country,US,2019-01-06,-0.0228894162859678,0.314708953218151
US,Country,US,2019-01-07,0.054659476220743,0.369368429438894
US,Country,US,2019-01-08,0.0504801329203838,0.419848562359278
US,Country,US,2019-01-09,0.00990609736118547,0.429754659720463
US,Country,US,2019-01-10,-0.0623825544575043,0.367372105262959
US,Country,US,2019-01-11,-0.0135103477023627,0.353861757560596
US,Country,US,2019-01-12,0.0259341459681067,0.379795903528703
US,Country,US,2019-01-13,-0.0812592683680132,0.29853663516069
US,Country,US,2019-01-14,0.184167758096044,0.482704393256734
US,Country,US,2019-01-15,-0.0600843697573224,0.422620023499412
US,Country,US,2019-01-16,0.0708561454126313,0.493476168912043
US,Country,US,2019-01-17,-0.0492264718783338,0.444249697033709
US,Country,US,2019-01-18,-0.0616322553298557,0.382617441703854
US,Country,US,2019-01-19,-0.00394481921566777,0.378672622488186
US,Country,US,2019-01-20,-0.00506133825683213,0.373611284231354
US,Country,US,2019-01-21,-0.0158047074550899,0.357806576776264
US,Country,US,2019-01-22,0.123214652494024,0.481021229270288
US,Country,US,2019-01-23,-0.0673339368224501,0.413687292447837
US,Country,US,2019-01-24,0.004631596106272,0.418318888554109
US,Country,US,2019-01-25,-0.130812078552531,0.287506810001578
US,Country,US,2019-01-26,0.0937676469713424,0.381274456972921
US,Country,US,2019-01-27,0.0652623689301809,0.446536825903101
US,Country,US,2019-01-28,0.0151249833421148,0.461661809245216
US,Country,US,2019-01-29,-0.0329545449924436,0.428707264252773
US,Country,US,2019-01-30,-0.0582730473726348,0.370434216880138
US,Country,US,2019-01-31,-0.100999341231024,0.269434875649114
US,Country,US,2019-02-02,-0.239867669608708,0.0295672060404055
US,Country,US,2019-02-03,0.209982000378879,0.239549206419284
US,Country,US,2019-02-04,-0.0824260887213073,0.157123117697977
US,Country,US,2019-02-05,0.0373573438865584,0.194480461584535
US,Country,US,2019-02-06,0.0528555937380455,0.247336055322581
US,Country,US,2019-02-07,-0.0334439472265572,0.213892108096024
US,Country,US,2019-02-08,-0.0124603677504197,0.201431740345604
US,Country,US,2019-02-09,-0.0200446339670387,0.181387106378565
US,Country,US,2019-02-10,0.113843323809022,0.295230430187588
US,Country,US,2019-02-11,0.010745135628655,0.305975565816243
US,Country,US,2019-02-12,-0.0644797078560374,0.241495857960205
US,Country,US,2019-02-13,-0.10309419699981,0.138401660960396
US,Country,US,2019-02-14,-0.0175662586654282,0.120835402294968
US,Country,US,2019-02-15,-0.0617870618275568,0.0590483404674107
US,Country,US,2019-02-16,0.0779262688846801,0.136974609352091
US,Country,US,2019-02-17,0.0110101893703002,0.147984798722391
US,Country,US,2019-02-18,-0.00253174123006013,0.145453057492331
US,Country,US,2019-02-19,0.110192667831813,0.255645725324144
US,Country,US,2019-02-20,-0.0786078574097366,0.177037867914407
US,Country,US,2019-02-21,0.0213874128857962,0.198425280800203
US,Country,US,2019-02-22,-0.120391976023635,0.0780333047765682
US,Country,US,2019-02-23,-0.0214509156889946,0.0565823890875736
US,Country,US,2019-02-24,0.145158136211407,0.201740525298981
US,Country,US,2019-02-25,-0.0201402954806908,0.18160022981829
US,Country,US,2019-02-26,0.025440556938985,0.207040786757275
US,Country,US,2019-02-27,-0.11279902238004,0.0942417643772347
US,Country,US,2019-02-28,-0.00342336397504923,0.0908184004021855
US,Country,US,2019-03-02,0.0501699097196467,0.140988310121832
US,Country,US,2019-03-03,0.292516967852742,0.433505277974574
US,Country,US,2019-03-04,-0.227869605247084,0.205635672727491
US,Country,US,2019-03-05,0.125377371987097,0.331013044714587
US,Country,US,2019-03-06,-0.0727430288384938,0.258270015876093
